id_emprendimiento,nombre_emprendimiento,descripcion,id_municipio_origen,id_alcance
1,EcoHuertas Urbanas,Huertos comunitarios en zonas urbanas,1,1
2,Recicla Ando,Programa de reciclaje comunitario,1,2
3,Sabores Ancestrales,Rescate de cocina tradicional de los indígenas Nasa ,1,1
4,Tejiendo Sueños,Tejidos artesanales con identidad cultural,1,1
5,Libros Viajeros,Bibliotecas móviles para niños,1,1
6,Turismo Vivencial,Experiencias turísticas comunitarias,1,2
7,TecnoCampo,Tecnología para pequeños agricultores,12,2
8,Salud para Todos,Atención médica en zonas rurales,12,2
9,Deporte para la Paz,Talleres deportivos para jóvenes,14,2
10,Manos Creativas,Talleres de artesanías tradicionales,11,1
11,Agua Pura,Sistemas de filtrado de agua,11,2
12,Guardianes del Bosque,Conservación de áreas naturales,5,2
13,Energía Comunitaria,Paneles solares para comunidades,5,2
14,Raíces Indígenas,Preservación cultural indígena,13,2
15,Trueque Solidario,Sistema de intercambio comunitario,8,1
16,Café con Raíz,Producción de café orgánico con comunidades campesinas,1,2
17,Letras del Pueblo,Talleres de escritura creativa para niños,1,1
18,Mercado Justo,Plataforma de comercio local para pequeños productores,1,1
19,Senderos Vivos,Rutas ecológicas guiadas,1,2
20,Aventuras Rurales,Turismo comunitario en zonas rurales,1,2
21,Sonrisas Rurales,Campañas odontológicas móviles,12,2
22,Voces Ancestrales,Documentación de tradiciones orales indígenas,12,2
23,Jóvenes en Movimiento,Actividades deportivas para integración social,12,2
24,EcoLadrillos,Construcción con ladrillos reciclados,11,1
25,Hilos de Tradición,Ropa con bordados tradicionales,15,1
26,Sembrando Futuro,Capacitación en agricultura orgánica para jóvenes,5,2
27,Luz Verde,Lámparas solares para zonas sin electricidad,5,2
28,Cocinas del Campo,Conservas y mermeladas artesanales,6,1
29,Tejidos Andinos,Accesorios tejidos por mujeres indígenas,7,1
30,Agua Viva,Proyectos de captación de agua lluvia,13,2
31,Verde Vivo,Viveros comunitarios para reforestación,1,2
32,Cuentacuentos,Narración oral para niños en zonas rurales,1,1
33,Tienda Solidaria,Comercio de productos artesanales locales,1,1
34,Explora Naturaleza,Campamentos educativos en áreas naturales,1,2
35,Memoria Viva,Archivo digital de tradiciones locales,1,2
36,Reutiliza Moda,Ropa reciclada con diseño local,2,1
37,Fútbol Comunidades,Torneos deportivos para integración juvenil,16,2
38,Manos Nasa,Productos tejidos por comunidades indígenas,3,1
39,TechLab Rural,Talleres de tecnología para comunidades,4,2
40,Vida Sana,Talleres de nutrición en escuelas rurales,5,2
41,Sabores del Huerto,Elaboración de mermeladas y conservas con frutas locales,6,1
42,Sol y Campo,Sistemas de energía solar para fincas,7,2
43,EcoRutas,Circuitos turísticos sostenibles,8,2
44,Arcilla y Raíz,Cerámicas artesanales inspiradas en tradiciones,9,1
45,Fuentes Limpias,Purificación de agua para comunidades,10,2
46,Mujeres Tejedoras,Taller de empoderamiento femenino a través de tejidos,1,1
47,Raíces Inclusivas,Proyectos culturales con comunidades indígenas,1,2
48,Semillas de Cambio,Educación ambiental con enfoque en equidad,1,2
