id_emprendimiento,nombre_emprendimiento,descripcion,redes_sociales,sitio_web,id_municipio_origen,id_alcance
1,EcoHuertas Urbanas,Huertos comunitarios en zonas urbanas,"Facebook,Instagram",1,1,1
2,Recicla Ando,Programa de reciclaje comunitario,"Instagram,TikTok",0,1,2
3,Sabores Ancestrales,Rescate de cocina tradicional,"Instagram,TikTok",0,1,1
4,Tejiendo Sueños,Tejidos artesanales con identidad cultural,"Facebook,Instagram",0,1,1
5,Libros Viajeros,Bibliotecas móviles para niños,"Instagram,TikTok",0,1,1
6,Turismo Vivencial,Experiencias turísticas comunitarias,"Instagram,TikTok,Facebook",1,1,2
7,TecnoCampo,Tecnología para pequeños agricultores,"Facebook,Instagram",1,12,2
8,Salud para Todos,Atención médica en zonas rurales,"Facebook,Instagram",1,12,2
9,Deporte para la Paz,Talleres deportivos para jóvenes,"Facebook,YouTube",0,14,2
10,Manos Creativas,Talleres de artesanías tradicionales,Instagram,0,11,1
11,Agua Pura,Sistemas de filtrado de agua,Facebook,1,11,2
12,Guardianes del Bosque,Conservación de áreas naturales,Instagram,0,5,2
13,Energía Comunitaria,Paneles solares para comunidades,Facebook,1,5,2
14,Raíces Indígenas,Preservación cultural indígena,Instagram,1,13,2
15,Trueque Solidario,Sistema de intercambio comunitario,Facebook,0,8,1
16,Café con Raíz,Producción de café orgánico con comunidades campesinas,"Instagram,Facebook",1,1,2
17,Letras del Pueblo,Talleres de escritura creativa para niños,"Instagram,TikTok",0,1,1
18,Mercado Justo,Plataforma de comercio local para pequeños productores,"Facebook,Instagram",1,1,1
19,Senderos Vivos,Rutas ecológicas guiadas,"Instagram,Facebook,TikTok",1,1,2
20,Aventuras Rurales,Turismo comunitario en zonas rurales,"Instagram,TikTok,Facebook",1,1,2
21,Sonrisas Rurales,Campañas odontológicas móviles,"Facebook,Instagram",1,12,2
22,Voces Ancestrales,Documentación de tradiciones orales indígenas,"Instagram,Facebook",1,12,2
23,Jóvenes en Movimiento,Actividades deportivas para integración social,"Facebook,YouTube",0,12,2
24,EcoLadrillos,Construcción con ladrillos reciclados,"Instagram,TikTok",0,11,1
25,Hilos de Tradición,Ropa con bordados tradicionales,"Instagram,Facebook",0,15,1
26,Sembrando Futuro,Capacitación en agricultura orgánica para jóvenes,Facebook,1,5,2
27,Luz Verde,Lámparas solares para zonas sin electricidad,Facebook,1,5,2
28,Cocinas del Campo,Conservas y mermeladas artesanales,"Instagram,TikTok",0,6,1
29,Tejidos Andinos,Accesorios tejidos por mujeres indígenas,Instagram,0,7,1
30,Agua Viva,Proyectos de captación de agua lluvia,"Facebook,Instagram",1,13,2
31,Verde Vivo,Viveros comunitarios para reforestación,"Instagram,Facebook",1,1,2
32,Cuentacuentos,Narración oral para niños en zonas rurales,"Instagram,TikTok",0,1,1
33,Tienda Solidaria,Comercio de productos artesanales locales,"Facebook,Instagram",1,1,1
34,Explora Naturaleza,Campamentos educativos en áreas naturales,"Instagram,TikTok,Facebook",1,1,2
35,Memoria Viva,Archivo digital de tradiciones locales,"Instagram,Facebook",1,1,2
36,Reutiliza Moda,Ropa reciclada con diseño local,"Instagram,TikTok",0,2,1
37,Fútbol Comunidades,Torneos deportivos para integración juvenil,"Facebook,YouTube",0,16,2
38,Manos Nasa,Productos tejidos por comunidades indígenas,Instagram,0,3,1
39,TechLab Rural,Talleres de tecnología para comunidades,"Facebook,Instagram",1,4,2
40,Vida Sana,Talleres de nutrición en escuelas rurales,"Facebook,Instagram",1,5,2
41,Sabores del Huerto,Elaboración de mermeladas y conservas con frutas locales,"Instagram,TikTok",0,6,1
